num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
7,0.42984313217944087,0.0013178382,3,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,3,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,3,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,3,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,3,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,3,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,3,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,3,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,3,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,3,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,3,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,3,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,3,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,3,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,3,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,3,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,3,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,3,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,3,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,3,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,3,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,3,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,3,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,3,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,3,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,3,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,3,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,3,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,3,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,3,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,3,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,3,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,3,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,3,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,3,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,3,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,3,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,3,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,3,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,3,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,3,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,3,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,3,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,3,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,3,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,3,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,3,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,3,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,3,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,3,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,3,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,3,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,3,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,3,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,3,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,3,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,3,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,3,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,3,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,3,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,3,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,3,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,3,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,3,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,3,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,3,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,3,"(1, 2)",20,16,6
3,0.31937512387319356,0.018590618,4,"(1, 1)",10,4,2
3,0.2470912607256515,0.02581427,4,"(1, 1)",10,4,6
10,0.4895967395465872,-0.0036472967,4,"(1, 1)",10,8,2
7,0.4693037309585054,0.014758352,4,"(1, 1)",10,8,6
10,0.515923358092518,-0.0002697,4,"(1, 1)",10,12,2
7,0.4557821450075121,0.009391793,4,"(1, 1)",10,12,6
9,0.4795207211485676,0.00085392065,4,"(1, 1)",10,16,2
10,0.46913552245932244,0.00697655,4,"(1, 1)",10,16,6
5,0.4502418240591101,-0.0021187298,4,"(1, 1)",13,4,2
3,0.2470912607256515,0.02581427,4,"(1, 1)",13,4,6
6,0.47584517493892103,-0.0024713536,4,"(1, 1)",13,8,2
7,0.5073195651852355,0.012280423,4,"(1, 1)",13,8,6
9,0.5064676205527103,-0.005777004,4,"(1, 1)",13,12,2
7,0.42984313217944087,0.0013178382,4,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,4,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,4,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,4,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,4,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,4,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,4,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,4,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,4,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,4,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,4,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,4,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,4,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,4,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,4,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,4,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,4,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,4,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,4,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,4,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,4,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,4,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,4,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,4,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,4,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,4,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,4,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,4,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,4,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,4,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,4,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,4,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,4,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,4,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,4,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,4,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,4,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,4,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,4,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,4,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,4,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,4,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,4,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,4,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,4,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,4,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,4,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,4,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,4,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,4,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,4,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,4,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,4,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,4,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,4,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,4,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,4,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,4,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,4,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,4,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,4,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,4,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,4,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,4,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,4,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,4,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,4,"(1, 2)",20,16,6
3,0.31937512387319356,0.018590618,5,"(1, 1)",10,4,2
3,0.2470912607256515,0.02581427,5,"(1, 1)",10,4,6
10,0.4895967395465872,-0.0036472967,5,"(1, 1)",10,8,2
7,0.4693037309585054,0.014758352,5,"(1, 1)",10,8,6
10,0.515923358092518,-0.0002697,5,"(1, 1)",10,12,2
7,0.4557821450075121,0.009391793,5,"(1, 1)",10,12,6
9,0.4795207211485676,0.00085392065,5,"(1, 1)",10,16,2
10,0.46913552245932244,0.00697655,5,"(1, 1)",10,16,6
5,0.4502418240591101,-0.0021187298,5,"(1, 1)",13,4,2
3,0.2470912607256515,0.02581427,5,"(1, 1)",13,4,6
6,0.47584517493892103,-0.0024713536,5,"(1, 1)",13,8,2
7,0.5073195651852355,0.012280423,5,"(1, 1)",13,8,6
9,0.5064676205527103,-0.005777004,5,"(1, 1)",13,12,2
7,0.42984313217944087,0.0013178382,5,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,5,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,5,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,5,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,5,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,5,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,5,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,5,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,5,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,5,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,5,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,5,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,5,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,5,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,5,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,5,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,5,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,5,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,5,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,5,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,5,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,5,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,5,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,5,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,5,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,5,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,5,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,5,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,5,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,5,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,5,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,5,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,5,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,5,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,5,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,5,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,5,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,5,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,5,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,5,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,5,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,5,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,5,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,5,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,5,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,5,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,5,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,5,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,5,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,5,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,5,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,5,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,5,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,5,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,5,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,5,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,5,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,5,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,5,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,5,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,5,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,5,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,5,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,5,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,5,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,5,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,5,"(1, 2)",20,16,6
3,0.31937512387319356,0.018590618,6,"(1, 1)",10,4,2
3,0.2470912607256515,0.02581427,6,"(1, 1)",10,4,6
10,0.4895967395465872,-0.0036472967,6,"(1, 1)",10,8,2
7,0.4693037309585054,0.014758352,6,"(1, 1)",10,8,6
10,0.515923358092518,-0.0002697,6,"(1, 1)",10,12,2
7,0.4557821450075121,0.009391793,6,"(1, 1)",10,12,6
9,0.4795207211485676,0.00085392065,6,"(1, 1)",10,16,2
10,0.46913552245932244,0.00697655,6,"(1, 1)",10,16,6
5,0.4502418240591101,-0.0021187298,6,"(1, 1)",13,4,2
3,0.2470912607256515,0.02581427,6,"(1, 1)",13,4,6
6,0.47584517493892103,-0.0024713536,6,"(1, 1)",13,8,2
7,0.5073195651852355,0.012280423,6,"(1, 1)",13,8,6
9,0.5064676205527103,-0.005777004,6,"(1, 1)",13,12,2
7,0.42984313217944087,0.0013178382,6,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,6,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,6,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,6,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,6,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,6,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,6,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,6,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,6,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,6,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,6,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,6,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,6,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,6,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,6,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,6,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,6,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,6,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,6,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,6,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,6,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,6,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,6,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,6,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,6,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,6,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,6,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,6,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,6,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,6,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,6,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,6,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,6,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,6,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,6,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,6,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,6,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,6,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,6,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,6,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,6,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,6,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,6,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,6,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,6,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,6,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,6,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,6,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,6,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,6,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,6,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,6,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,6,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,6,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,6,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,6,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,6,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,6,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,6,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,6,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,6,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,6,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,6,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,6,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,6,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,6,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,6,"(1, 2)",20,16,6
3,0.31937512387319356,0.018590618,7,"(1, 1)",10,4,2
3,0.2470912607256515,0.02581427,7,"(1, 1)",10,4,6
10,0.4895967395465872,-0.0036472967,7,"(1, 1)",10,8,2
7,0.4693037309585054,0.014758352,7,"(1, 1)",10,8,6
10,0.515923358092518,-0.0002697,7,"(1, 1)",10,12,2
7,0.4557821450075121,0.009391793,7,"(1, 1)",10,12,6
9,0.4795207211485676,0.00085392065,7,"(1, 1)",10,16,2
10,0.46913552245932244,0.00697655,7,"(1, 1)",10,16,6
5,0.4502418240591101,-0.0021187298,7,"(1, 1)",13,4,2
3,0.2470912607256515,0.02581427,7,"(1, 1)",13,4,6
6,0.47584517493892103,-0.0024713536,7,"(1, 1)",13,8,2
